ID,Date,Basin,Region,Pollutant,Concentration,MPC,below_detection,exceeds_plausible,water_body,water_body_type,table_type,station,source_bulletin
1,2025-01-31,Aralo-Syrdarya,Kyzylorda,Copper,0.00267,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-01.pdf
2,2025-02-28,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-02.pdf
3,2025-04-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,,,worst_parameter,,Aralo-Syrdarya_2025-04.pdf
4,2025-04-30,Aralo-Syrdarya,Kyzylorda,Sulfates,228.0,500.0,False,False,,,worst_parameter,,Aralo-Syrdarya_2025-04.pdf
5,2025-05-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-05.pdf
6,2025-05-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-05.pdf
7,2025-05-31,Aralo-Syrdarya,Kyzylorda,Nitrates,0.115092,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-05.pdf
8,2025-05-31,Aralo-Syrdarya,Kyzylorda,Oil Products,0.01,0.05,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-05.pdf
9,2025-05-31,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-05.pdf
10,2025-05-31,Aralo-Syrdarya,Kyzylorda,Sulfates,232.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-05.pdf
11,2025-05-31,Aralo-Syrdarya,Kyzylorda,Sulfates,244.0,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-05.pdf
12,2025-06-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-06.pdf
13,2025-06-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-06.pdf
14,2025-06-30,Aralo-Syrdarya,Kyzylorda,Nitrates,0.053119,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-06.pdf
15,2025-06-30,Aralo-Syrdarya,Kyzylorda,Oil Products,0.02,0.05,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-06.pdf
16,2025-06-30,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-06.pdf
17,2025-06-30,Aralo-Syrdarya,Kyzylorda,Sulfates,245.667,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-06.pdf
18,2025-06-30,Aralo-Syrdarya,Kyzylorda,Sulfates,252.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-06.pdf
19,2025-07-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-07.pdf
20,2025-07-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-07.pdf
21,2025-07-31,Aralo-Syrdarya,Kyzylorda,Nitrates,0.106238,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-07.pdf
22,2025-07-31,Aralo-Syrdarya,Kyzylorda,Oil Products,0.0,0.05,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-07.pdf
23,2025-07-31,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-07.pdf
24,2025-07-31,Aralo-Syrdarya,Kyzylorda,Sulfates,230.667,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-07.pdf
25,2025-07-31,Aralo-Syrdarya,Kyzylorda,Sulfates,240.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-07.pdf
26,2025-08-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-08.pdf
27,2025-08-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-08.pdf
28,2025-08-31,Aralo-Syrdarya,Kyzylorda,Nitrates,0.22133,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-08.pdf
29,2025-08-31,Aralo-Syrdarya,Kyzylorda,Oil Products,0.0,0.05,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-08.pdf
30,2025-08-31,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-08.pdf
31,2025-08-31,Aralo-Syrdarya,Kyzylorda,Sulfates,240.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-08.pdf
32,2025-08-31,Aralo-Syrdarya,Kyzylorda,Sulfates,242.667,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-08.pdf
33,2025-09-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-09.pdf
34,2025-09-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-09.pdf
35,2025-09-30,Aralo-Syrdarya,Kyzylorda,Nitrates,0.154931,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-09.pdf
36,2025-09-30,Aralo-Syrdarya,Kyzylorda,Oil Products,0.0,0.05,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-09.pdf
37,2025-09-30,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-09.pdf
38,2025-09-30,Aralo-Syrdarya,Kyzylorda,Sulfates,219.333,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-09.pdf
39,2025-09-30,Aralo-Syrdarya,Kyzylorda,Sulfates,240.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2025-09.pdf
40,2025-11-30,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-11.pdf
41,2025-11-30,Aralo-Syrdarya,Kyzylorda,Sulfates,238.667,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2025-11.pdf
42,2025-12-31,Aralo-Syrdarya,Kyzylorda,Copper,0.002,0.001,False,False,,,worst_parameter,,Aralo-Syrdarya_2025-12.pdf
43,2025-12-31,Aralo-Syrdarya,Kyzylorda,Sulfates,234.667,500.0,False,False,,,worst_parameter,,Aralo-Syrdarya_2025-12.pdf
44,2025-01-31,Balkash-Alakol,Almaty,Copper,0.0014,0.001,False,False,Есік өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
45,2025-01-31,Balkash-Alakol,Almaty,Copper,0.0014,0.001,False,False,Каратал өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
46,2025-01-31,Balkash-Alakol,Almaty,Copper,0.0016,0.001,False,False,Есентай өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
47,2025-01-31,Balkash-Alakol,Almaty,Copper,0.0018,0.001,False,False,Қаскелен өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
48,2025-01-31,Balkash-Alakol,Almaty,Copper,0.00205,0.001,False,False,Шілік өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
49,2025-01-31,Balkash-Alakol,Almaty,Copper,0.00258,0.001,False,False,Қорғас өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
50,2025-01-31,Balkash-Alakol,Almaty,Copper,0.00277,0.001,False,False,Текес өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
51,2025-01-31,Balkash-Alakol,Almaty,Copper,0.254,0.001,False,False,Лепсі өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
52,2025-01-31,Balkash-Alakol,Almaty,Sulfates,105.1,500.0,False,False,Шілік өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
53,2025-01-31,Balkash-Alakol,Almaty,Sulfates,130.0,500.0,False,False,Қарқара өзені,river,worst_parameter,,Balkash-Alakol_2025-01.pdf
54,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00114,0.001,False,False,,,worst_parameter,,Balkash-Alakol_2025-02.pdf
55,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00115,0.001,False,False,Темірлік өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
56,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00125,0.001,False,False,Каратал өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
57,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00137,0.001,False,False,Есентай өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
58,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00154,0.001,False,False,Шарын өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
59,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00159,0.001,False,False,Баянкөл өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
60,2025-02-28,Balkash-Alakol,Almaty,Copper,0.0016,0.001,False,False,Есік өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
61,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00253,0.001,False,False,Қорғас өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
62,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00255,0.001,False,False,Шілік өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
63,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00424,0.001,False,False,Қорғас өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
64,2025-02-28,Balkash-Alakol,Almaty,Copper,0.00478,0.001,False,False,Аксу өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
65,2025-02-28,Balkash-Alakol,Almaty,Sulfates,114.5,500.0,False,False,Қаскелен өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
66,2025-02-28,Balkash-Alakol,Almaty,Sulfates,115.0,500.0,False,False,Баянкөл өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
67,2025-02-28,Balkash-Alakol,Almaty,Sulfates,116.0,500.0,False,False,Текес өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
68,2025-02-28,Balkash-Alakol,Almaty,Sulfates,125.556,500.0,False,False,Іле өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
69,2025-02-28,Balkash-Alakol,Almaty,Sulfates,130.0,500.0,False,False,Темірлік өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
70,2025-02-28,Balkash-Alakol,Almaty,Sulfates,131.0,500.0,False,False,Шарын өзені,river,worst_parameter,,Balkash-Alakol_2025-02.pdf
71,2025-03-31,Balkash-Alakol,Almaty,Copper,0.0011,0.001,False,False,Кіші Алматы өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
72,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00124,0.001,False,False,Есентай өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
73,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00134,0.001,False,False,Үлкен Алматы өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
74,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00134,0.001,False,False,Шілік өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
75,2025-03-31,Balkash-Alakol,Almaty,Copper,0.0015,0.001,False,False,Лепсі өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
76,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00163,0.001,False,False,Қаскелен өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
77,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00193,0.001,False,False,Шарын өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
78,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00289,0.001,False,False,Аксу өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
79,2025-03-31,Balkash-Alakol,Almaty,Copper,0.00318,0.001,False,False,Іле өзені,river,worst_parameter,,Balkash-Alakol_2025-03.pdf
